Time,SystemLoad,NetLoad,Uncontrolled,V1G,OnlyV2G,V2G
0.25,9870.10972680778,9870.10972680778,10326.3956717976,10981.49266338,11132.8694295171,10946.4858684689
0.5,9818.70715631661,9818.70715631661,10272.2287790347,10983.9603350823,11132.239358271,10942.8726404241
0.75,9720.51478102746,9720.51478102746,10166.6504801755,10979.4133391377,11132.1809720028,10939.7162925285
1,9631.30917486916,9631.30917486916,10075.5012099199,10970.8231308932,11129.8252275897,10941.5479376519
1.25,9550.64099760657,9550.64099760657,9997.55416239359,10967.3020091171,11118.0277958379,10932.6935873221
1.5,9478.08646081775,9478.08646081775,9928.41183590902,10965.4884601596,11097.6610351083,10911.3373091967
1.75,9413.08175808562,9413.08175808562,9865.35079727426,10960.4786314861,11081.1817577902,10892.3480324553
2,9354.38096961968,9354.38096961968,9808.89602065416,10952.1530214757,11082.7060364072,10890.5348834124
2.25,9299.98490207595,9299.98490207595,9754.32718296845,10950.4792540936,11087.5151062589,10894.1379259325
2.5,9247.39226377556,9247.39226377556,9700.22280592566,10949.3194228396,11080.5128527757,10887.3679995545
2.75,9194.53860949699,9194.53860949699,9653.02737379719,10947.7026559981,11078.8677603959,10890.201287658
3,9143.32694721283,9143.32694721283,9611.44764692886,10949.8967675298,11087.4870635371,10899.7139726484
3.25,9099.11665285252,9099.11665285252,9575.14158656449,10948.0818773844,11088.3473370026,10900.1480502125
3.5,9065.09865617657,9065.09865617657,9546.65223443215,10945.5156760363,11087.3954160889,10901.0791537778
3.75,9041.43585829886,9041.43585829886,9525.88333643274,10947.8674757711,11091.8519462797,10903.5750799626
4,9027.44289181073,9027.44289181073,9506.188955259,10948.7051671875,11087.8484065481,10897.5793644772
4.25,9021.81729225607,9021.81729225607,9494.04128284431,10947.1027483093,11088.7845132044,10900.541561114
4.5,9021.40130932546,9021.40130932546,9489.73797171897,10947.6805643,11085.5987842802,10899.6681538144
4.75,9023.34047097616,9023.34047097616,9485.80294854208,10950.8136897629,11071.2296992162,10885.2045204143
5,9035.0674385319,9035.0674385319,9489.75525970837,10952.1510959424,11072.8431108333,10888.270844511
5.25,9073.42684936686,9073.42684936686,9517.35972920458,10953.4135351422,11094.2993629115,10909.8856022313
5.5,9150.6855798002,9150.6855798002,9582.61093476977,10954.6510932255,11111.9373307867,10927.7010410929
5.75,9269.24778607179,9269.24778607179,9689.98627434765,10958.5207411,11128.1162970471,10943.4654414987
6,9417.54670583526,9417.54670583526,9823.38376936467,10962.5453817476,11160.61759608,10963.6429553273
6.25,9573.27883782946,9573.27883782946,9975.8332686611,10968.6157488392,11182.9870415177,10976.7206101232
6.5,9712.88910682549,9712.88910682549,10120.4106792393,10981.5879353482,11197.6509920872,10990.7520364731
6.75,9817.33864781055,9817.33864781055,10227.1494246057,11013.9970286517,11225.1714811879,11013.5955625796
7,9892.54613954184,9892.54613954184,10311.4705413268,11067.4949927441,11242.5498780402,11033.140874189
7.25,9971.59759719117,9971.59759719117,10402.0112134183,11118.6028854839,11261.7234398354,11047.4833676855
7.5,10097.9278973788,10073.5428033869,10516.8277951921,11157.3254827662,11301.391372503,11064.4875714857
7.75,10311.0204268496,10234.1152577046,10694.8932263861,11212.7034588729,11339.1403079872,11085.3844758964
8,10607.267218618,10472.1250108104,10954.3264770984,11297.1235695012,11370.3816861156,11098.956277695
8.25,10937.4403851655,10753.5913197235,11256.611588121,11411.7694991063,11387.0447083895,11100.140053564
8.5,11239.3701642204,10907.863951725,11428.1180417858,11497.2497331336,11391.9468651747,11098.7452717428
8.75,11456.6318449816,10954.9414242174,11488.5852002823,11533.4415612894,11395.3190202709,11097.2134038156
9,11574.9922587352,10986.0691388119,11533.0162158099,11565.019997727,11395.0704162692,11092.4267893739
9.25,11621.3742629563,10908.0980716573,11465.195394497,11543.2286863226,11392.5063096476,11074.3601743775
9.5,11628.997005968,10835.2435085037,11400.4178354814,11536.8826997014,11391.2207060024,11073.6410282927
9.75,11626.6038522225,10795.9324187592,11369.0973648039,11536.1546886183,11388.8788841291,11070.1936257194
10,11628.0829703806,10717.6263552442,11288.804444656,11484.2059321869,11389.15511923,11039.2068421848
10.25,11632.7456110114,10643.9069841715,11208.0014977618,11445.1892586468,11388.5854232236,11036.5473213147
10.5,11637.3529123856,10611.9891786063,11172.4987117503,11430.469237302,11383.9660137268,11026.4718991983
10.75,11639.5449176503,10532.9418672952,11088.8729916765,11401.3957494362,11374.7344033009,10994.3108957785
11,11639.5175874151,10448.6120889638,10997.6756002011,11376.1845112763,11370.7744904121,10982.2573136559
11.25,11638.9305882991,10380.1119653869,10920.8393172733,11313.1351147911,11371.3235243188,10944.8931492189
11.5,11634.7079906944,10215.8654845028,10747.2632487219,11201.8056126237,11375.1234957003,10893.7677494987
11.75,11619.3104406,10102.1553606625,10625.3033506016,11159.5532354128,11386.8024057166,10878.9457200977
12,11588.0622105405,10042.4022294781,10556.0910541434,11129.1502224689,11388.5326271832,10863.1169749878
12.25,11540.9390783196,9910.63567522806,10415.513222652,11069.80607192,11390.5601943907,10833.1452670358
12.5,11482.454093207,9853.25981884663,10351.831256088,11128.5572409957,11381.4715380442,10886.657657854
12.75,11421.8106404361,9946.76492037251,10444.5156994394,11194.6476017881,11369.7058556721,10934.9127055661
13,11373.3254715837,9833.86831722839,10336.197505058,11087.4551401557,11368.0751453193,10863.1382407065
13.25,11352.4279415999,9885.36757531061,10396.5512329171,11100.2471196246,11359.4297733437,10879.3748946904
13.5,11360.1933970227,10154.2444316126,10674.196173925,11197.642613807,11357.011743437,10920.9643456619
13.75,11383.9924397199,10251.0829444365,10780.0619266678,11284.8755989831,11360.4761747341,10974.8662164417
14,11414.6511093355,10323.6890552538,10860.745041623,11375.9599960148,11349.1298430834,11035.6894968554
14.25,11447.8387540948,10357.9914580739,10899.4098905283,11372.2305211355,11320.9361996158,11010.6938719321
14.5,11472.408704659,10347.0605179365,10896.5559545288,11373.992092697,11312.20159871,11010.4073973529
14.75,11472.5101073208,10345.5427426775,10901.0851342393,11374.7930927081,11315.4368395614,10999.0921576876
15,11448.0224206172,10431.2086146025,10990.2064090041,11371.1727294499,11316.4674498531,10976.0743025534
15.25,11414.8248667611,10418.1596723633,10980.1809442498,11286.2549060289,11324.4127189295,10886.0776986838
15.5,11385.5356145647,10492.6993721682,11054.2023336287,11310.0562987589,11318.8513271144,10884.4636271583
15.75,11365.0858227672,10598.7895577695,11157.4850044227,11417.411270386,11305.8646904115,10968.7604221669
16,11351.8877259109,10644.6778043397,11206.2239583357,11411.524782355,11303.394866982,10946.872423385
16.25,11339.6310787541,10691.4806787411,11259.6784832036,11391.8939444453,11296.9041230041,10916.0932763481
16.5,11323.6344318067,10713.8075795136,11290.7734686819,11440.7965516384,11284.691453576,10960.2124087389
16.75,11301.6521465195,10809.0782921124,11398.0948986845,11516.4421580952,11287.2574479437,11031.1526953865
17,11270.9087933484,10854.2358231317,11456.2965754238,11522.6405688237,11300.0295185287,11041.8318779037
17.25,11228.208890611,10881.6534064282,11482.8935005459,11513.7356197248,11309.0872932182,11036.2706734937
17.5,11173.0054979327,10873.7675125488,11474.7052589179,11507.8944920371,11306.2836187995,11039.7888627683
17.75,11108.9550751008,10851.3877983803,11474.7424706723,11492.0478120736,11289.1884928054,11025.2712315857
18,11046.8121924668,10847.3944092896,11495.8439447054,11463.9184028752,11278.843650083,11019.4229236457
18.25,11002.9433145224,10841.1542852916,11516.5559628575,11453.1239154633,11280.0926556857,11023.4483591547
18.5,10990.314965055,10872.0393695353,11582.8157336732,11452.8710145103,11261.76200461,11016.5568113084
18.75,11014.2972622938,10944.5014137222,11686.0740556694,11450.9111532449,11235.6243511201,11014.2184819634
19,11065.9798945932,11037.3057488377,11814.5554251055,11456.4109366564,11229.7393795691,11007.0862496887
19.25,11124.2414343215,11118.6968105076,11940.6507610147,11464.1671500795,11236.6098129785,10995.378145256
19.5,11170.0890547689,11170.0241764454,12036.6392086563,11471.3282782295,11220.6554884812,10983.3132274777
19.75,11191.8671890157,11191.8671890157,12098.2625464194,11452.4343078063,11201.1562516985,10977.1313493385
20,11191.0112749968,11191.0112749968,12135.0273308183,11428.0267645923,11206.2203166477,10978.4000418059
20.25,11179.5842395664,11179.5842395664,12154.9580761587,11428.5638697822,11203.4541603405,10971.2278482923
20.5,11165.8210225189,11165.8210225189,12167.1967654803,11443.7011651089,11191.1777448963,10967.6199699031
20.75,11151.3159185566,11151.3159185566,12165.4766520252,11442.6256748671,11189.6174845514,10974.1253582053
21,11133.8710826937,11133.8710826937,12146.0017669939,11425.4301131812,11188.961462305,10977.2719281727
21.25,11107.7735774635,11107.7735774635,12122.8413541775,11406.9633972413,11204.3988628525,10977.5803680919
21.5,11061.9399572059,11061.9399572059,12068.412419356,11386.1791188468,11202.6160715056,10968.5822830798
21.75,10983.7466255552,10983.7466255552,11970.0481736283,11363.5928277129,11181.9905242941,10950.4149859818
22,10876.2380939128,10876.2380939128,11844.917087503,11321.780850605,11168.7323632392,10938.8185000132
22.25,10757.4616087126,10757.4616087126,11700.0955033982,11274.173730602,11160.3843636377,10938.2671753545
22.5,10640.759878225,10640.759878225,11555.9233203346,11228.0103270494,11149.5539232405,10932.178445754
