Time,SystemLoad,NetLoad,Uncontrolled,V1G,OnlyV2G,V2G
0.25,9870.10972680778,9870.10972680778,10326.3956717976,10400.0760093312,11132.8694295171,9606.78617900586
0.5,9818.70715631661,9818.70715631661,10272.2287790347,10358.5841456696,11132.239358271,9598.35926587539
0.75,9720.51478102746,9720.51478102746,10166.6504801755,10277.8857756596,11132.1809720028,9589.68362902495
1,9631.30917486916,9631.30917486916,10075.5012099199,10195.7295965616,11129.8252275897,9585.40621727232
1.25,9550.64099760657,9550.64099760657,9997.55416239359,10127.2793831784,11118.0277958379,9575.9329309616
1.5,9478.08646081775,9478.08646081775,9928.41183590902,10076.7322195865,11097.6610351083,9562.67428567373
1.75,9413.08175808562,9413.08175808562,9865.35079727426,10034.3118779014,11081.1817577902,9549.99149459859
2,9354.38096961968,9354.38096961968,9808.89602065416,10001.7389010989,11082.7060364072,9549.24812410584
2.25,9299.98490207595,9299.98490207595,9754.32718296845,9951.71584566628,11087.5151062589,9552.80437566988
2.5,9247.39226377556,9247.39226377556,9700.22280592566,9872.87189945791,11080.5128527757,9544.7268613917
2.75,9194.53860949699,9194.53860949699,9653.02737379719,9823.70177094953,11078.8677603959,9540.32339140545
3,9143.32694721283,9143.32694721283,9611.44764692886,9821.69676510487,11087.4870635371,9551.9603526782
3.25,9099.11665285252,9099.11665285252,9575.14158656449,9794.27541729673,11088.3473370026,9550.92521384253
3.5,9065.09865617657,9065.09865617657,9546.65223443215,9738.89388909836,11087.3954160889,9547.37833520445
3.75,9041.43585829886,9041.43585829886,9525.88333643274,9702.54812685541,11091.8519462797,9552.42565108996
4,9027.44289181073,9027.44289181073,9506.188955259,9692.81465581894,11087.8484065481,9544.22034404474
4.25,9021.81729225607,9021.81729225607,9494.04128284431,9703.35799279157,11088.7845132044,9542.42431664811
4.5,9021.40130932546,9021.40130932546,9489.73797171897,9700.09442797305,11085.5987842802,9550.80726320277
4.75,9023.34047097616,9023.34047097616,9485.80294854208,9708.26956508876,11071.2296992162,9550.64231039511
5,9035.0674385319,9035.0674385319,9489.75525970837,9714.02074524462,11072.8431108333,9551.16118659265
5.25,9073.42684936686,9073.42684936686,9517.35972920458,9746.795566377,11094.2993629115,9569.95833104562
5.5,9150.6855798002,9150.6855798002,9582.61093476977,9820.98970390483,11111.9373307867,9590.40191485151
5.75,9269.24778607179,9269.24778607179,9689.98627434765,9869.11269416073,11128.1162970471,9612.45295452158
6,9417.54670583526,9417.54670583526,9823.38376936467,9939.31042159111,11160.61759608,9653.94074760964
6.25,9573.27883782946,9573.27883782946,9975.8332686611,10033.3179881751,11182.9870415177,9698.99773515373
6.5,9712.88910682549,9712.88910682549,10120.4106792393,10112.4535731883,11197.6509920872,9726.55919865363
6.75,9817.33864781055,9817.33864781055,10227.1494246057,10179.6141611082,11225.1714811879,9739.25323914081
7,9892.54613954184,9879.41886825231,10298.3432700373,10220.1264094892,11242.5498780402,9734.48431699748
7.25,9971.59759719117,9896.55882602397,10326.9724422512,10237.3764505623,11261.7234398354,9678.99637708661
7.5,10097.9278973788,9881.41809882686,10324.7030906321,10227.4895058047,11301.391372503,9650.13493018577
7.75,10311.0204268496,9873.18165609471,10333.9596247763,10231.1264957726,11339.1403079872,9659.20720131317
8,10607.267218618,9847.20779807174,10329.4092643598,10195.5832631042,11370.3816861156,9580.71458949091
8.25,10937.4403851655,9698.22548986461,10201.2457582622,9971.70944264544,11387.0447083895,9286.66051246495
8.5,11239.3701642204,9391.7876097577,9912.04169981855,9689.52349990542,11391.9468651747,9225.61020009026
8.75,11456.6318449816,8928.9588032769,9462.60257934181,9304.06893018993,11395.3190202709,9192.41311683913
9,11574.9922587352,8383.44501172004,8930.39208871801,8776.24586651479,11395.0704162692,8858.01815592611
9.25,11621.3742629563,7894.8837447105,8451.98106755025,8387.89221328712,11392.5063096476,8707.63585722071
9.5,11628.997005968,7465.80476357909,8030.97909055678,8075.70758304254,11391.2207060024,8560.48192729942
9.75,11626.6038522225,7076.16518730374,7649.33013334837,7742.00245093723,11388.8788841291,8301.4203359112
10,11628.0829703806,6732.35197254008,7303.53006195185,7390.37127148686,11389.15511923,8026.39720651115
10.25,11632.7456110114,6391.87452625201,6955.96903984227,7110.74531311951,11388.5854232236,7828.47318146397
10.5,11637.3529123856,6031.53186595169,6592.04139909571,6841.62079759041,11383.9660137268,7625.79959969007
10.75,11639.5449176503,5662.7908280198,6218.72195240114,6615.43587503427,11374.7344033009,7482.90464188678
11,11639.5175874151,5220.97213061301,5770.03564185034,6350.83440342702,11370.7744904121,7286.44004497329
11.25,11638.9305882991,4681.7739300848,5222.50128197121,5799.95673928093,11371.3235243188,6719.1328240042
11.5,11634.7079906944,4140.31217234458,4671.70993656365,5400.33383215885,11375.1234957003,6280.76628863012
11.75,11619.3104406,3630.84442241724,4153.99241235639,5130.95811170478,11386.8024057166,6015.27218697554
12,11588.0622105405,3217.6315513421,3731.32037600741,4794.24978592195,11388.5326271832,5614.93999282069
12.25,11540.9390783196,3032.0156727924,3536.89322021633,4847.62169666572,11390.5601943907,5411.19236183026
12.5,11482.454093207,3021.10386934103,3519.67530658241,5194.08009052788,11381.4715380442,5621.26523164834
12.75,11421.8106404361,3104.67784770778,3602.42862677471,5133.28403192047,11369.7058556721,5681.49381007881
13,11373.3254715837,3410.36000080458,3912.68918863419,5379.15897614564,11368.0751453193,5974.04047966732
13.25,11352.4279415999,3894.94552401307,4406.12918161956,5604.85531376229,11359.4297733437,6235.87111979865
13.5,11360.1933970227,4494.6140302054,5014.56577251777,5749.98238432773,11357.011743437,6449.00544446982
13.75,11383.9924397199,5088.87789365748,5617.85687588872,6448.81756031704,11360.4761747341,7165.71074780592
14,11414.6511093355,5408.08434026313,5945.1403266323,6744.42823747638,11349.1298430834,7458.1170446072
14.25,11447.8387540948,5490.33467147423,6031.75310392859,6682.67408696025,11320.9361996158,7485.27412376733
14.5,11472.408704659,5541.24677976963,6090.74221636192,6765.61468726673,11312.20159871,7625.82370453771
14.75,11472.5101073208,5653.27398293335,6208.81637449522,6942.82287508947,11315.4368395614,7789.30659464426
15,11448.0224206172,5861.29853757875,6420.29633198038,7022.3136057869,11316.4674498531,7782.73430570931
15.25,11414.8248667611,6221.65640819059,6783.677680077,7211.00903781144,11324.4127189295,7759.60289847498
15.5,11385.5356145647,6646.22350296431,7207.72646442476,7485.65291708867,11318.8513271144,7903.77647683755
15.75,11365.0858227672,7088.63185427622,7647.32730092937,7898.67810619562,11305.8646904115,8386.02714768933
16,11351.8877259109,7499.2644621005,8060.81061609645,8206.33041901315,11303.394866982,8529.37408750198
16.25,11339.6310787541,7843.85930348508,8412.05710794755,8416.87767864965,11296.9041230041,8526.29254810841
16.5,11323.6344318067,8202.95006959691,8779.91595876526,8832.31970677823,11284.691453576,8924.82646596964
16.75,11301.6521465195,8589.21183965779,9178.22844622979,9164.40643735826,11287.2574479437,9087.97712624352
17,11270.9087933484,8980.2958795566,9582.35663184869,9463.45586543341,11300.0295185287,9212.32268831192
17.25,11228.208890611,9301.44410320847,9902.68419732611,9674.83021929437,11309.0872932182,9286.71611426069
17.5,11173.0054979327,9545.70915029846,10146.6468966676,9862.72253714016,11306.2836187995,9398.40546905866
17.75,11108.9550751008,9749.523637533,10372.8783098251,10067.2003965257,11289.1884928054,9487.37164622677
18,11046.8121924668,9935.49945449072,10583.9489899065,10231.4681938854,11278.843650083,9492.11097305959
18.25,11002.9433145224,10138.5314286748,10813.9331062407,10447.4100214016,11280.0926556857,9586.08767640846
18.5,10990.314965055,10365.3480254455,11076.1243895834,10653.4115165245,11261.76200461,9648.885456581
18.75,11014.2972622938,10613.6821981062,11355.2548400535,10864.7371428633,11235.6243511201,9668.48951313276
19,11065.9798945932,10854.0475878088,11631.2972640765,11086.905177286,11229.7393795691,9681.77542869555
19.25,11124.2414343215,11038.4582641822,11860.4122146893,11241.3770443956,11236.6098129785,9709.85977296508
19.5,11170.0890547689,11146.9040351175,12013.5190673285,11318.4083263537,11220.6554884812,9748.95802502999
19.75,11191.8671890157,11188.7928446708,12095.1882020744,11350.9122779164,11201.1562516985,9769.97684730538
20,11191.0112749968,11190.9763489328,12134.9924047543,11338.7090188851,11206.2203166477,9773.07678515233
20.25,11179.5842395664,11179.5842395664,12154.9580761587,11309.5785651241,11203.4541603405,9770.49892123061
20.5,11165.8210225189,11165.8210225189,12167.1967654803,11296.9115832308,11191.1777448963,9770.87969749553
20.75,11151.3159185566,11151.3159185566,12165.4766520252,11300.4104546733,11189.6174845514,9773.81995549771
21,11133.8710826937,11133.8710826937,12146.0017669939,11290.7713373546,11188.961462305,9773.73929213783
21.25,11107.7735774635,11107.7735774635,12122.8413541775,11273.0695910801,11204.3988628525,9771.07457901854
21.5,11061.9399572059,11061.9399572059,12068.412419356,11257.7742519059,11202.6160715056,9770.81942325034
21.75,10983.7466255552,10983.7466255552,11970.0481736283,11230.1646503589,11181.9905242941,9772.95511746454
22,10876.2380939128,10876.2380939128,11844.917087503,11164.1061665255,11168.7323632392,9772.14018472452
22.25,10757.4616087126,10757.4616087126,11700.0955033982,11082.5532702656,11160.3843636377,9766.18519489818
22.5,10640.759878225,10640.759878225,11555.9233203346,11020.9835372247,11149.5539232405,9753.88893990762
22.75,10530.9395111934,10530.9395111934,11431.0287584145,10967.117395623,11127.9022041018,9736.79864402742
23,10428.5431859986,10428.5431859986,11312.2192697308,10920.9792920644,11121.4506973923,9720.45032110662
23.25,10331.3505171917,10331.3505171917,11196.0650778408,10923.4648665956,11126.8149243566,9709.67580615104
23.5,10236.1232637495,10236.1232637495,11089.9533054534,10922.2258403458,11112.7596344791,9698.88049904913
23.75,10139.2077558852,10139.2077558852,10977.0997519906,10862.5749465494,11087.509429047,9676.99645529121
24,10037.0775066022,10037.0775066022,10683.7561480627,10812.9624915023,11069.2211409621,9645.74957067854
