Time,SystemLoad,NetLoad,Uncontrolled,V1G,OnlyV2G,V2G
0.25,9870.10972680778,9870.10972680778,10326.3956717976,10384.1246592358,10990.1026755299,10597.5010238239
0.5,9818.70715631661,9818.70715631661,10272.2287790347,10384.1246592358,10990.1026755299,10597.5010238239
0.75,9720.51478102746,9720.51478102746,10166.6504801755,10384.1246592358,10990.1026755299,10597.5010238239
1,9631.30917486916,9631.30917486916,10075.5012099199,10384.1246592358,10990.1026755299,10597.5010238239
1.25,9550.64099760657,9550.64099760657,9997.55416239359,10384.1246592358,10990.1026755299,10597.5010238239
1.5,9478.08646081775,9478.08646081775,9928.41183590902,10384.1246592358,10990.1026755299,10597.5010238239
1.75,9413.08175808562,9413.08175808562,9865.35079727426,10384.1246592358,10990.1026755299,10597.5010238239
2,9354.38096961968,9354.38096961968,9808.89602065416,10384.1246592358,10990.1026755299,10597.5010238239
2.25,9299.98490207595,9299.98490207595,9754.32718296845,10384.1246592358,10990.1026755299,10597.5010238239
2.5,9247.39226377556,9247.39226377556,9700.22280592566,10384.1246592358,10990.1026755299,10597.5010238239
2.75,9194.53860949699,9194.53860949699,9653.02737379719,10384.1246592358,10990.1026755299,10597.5010238239
3,9143.32694721283,9143.32694721283,9611.44764692886,10384.1246592358,10990.1026755299,10597.5010238239
3.25,9099.11665285252,9099.11665285252,9575.14158656449,10384.1246592357,10990.1026755299,10597.5010238239
3.5,9065.09865617657,9065.09865617657,9546.65223443215,10384.1246592357,10990.1026755299,10597.5010238239
3.75,9041.43585829886,9041.43585829886,9525.88333643274,10384.1246592357,10990.1026755299,10597.5010238239
4,9027.44289181073,9027.44289181073,9506.188955259,10384.1246592357,10990.1026755299,10597.5010238239
4.25,9021.81729225607,9021.81729225607,9494.04128284431,10384.1246592357,10990.1026755299,10597.5010238239
4.5,9021.40130932546,9021.40130932546,9489.73797171897,10384.1246592357,10990.1026755299,10597.5010238239
4.75,9023.34047097616,9023.34047097616,9485.80294854208,10384.1246592357,10990.1026755299,10597.5010238239
