Time,SystemLoad,NetLoad,Uncontrolled,V1G,OnlyV2G,V2G
0.25,9870.10972680778,9870.10972680778,10326.3956717976,9870.10972680778,10990.1026755299,9373.67737568102
0.5,9818.70715631661,9818.70715631661,10272.2287790347,9818.70715631661,10990.1026755299,9373.67737568102
0.75,9720.51478102746,9720.51478102746,10166.6504801755,9720.51478102746,10990.1026755299,9373.67737568102
1,9631.30917486916,9631.30917486916,10075.5012099199,9631.30917486916,10990.1026755299,9373.67737568102
1.25,9550.64099760657,9550.64099760657,9997.55416239359,9550.64099760657,10990.1026755299,9373.67737568102
1.5,9478.08646081775,9478.08646081775,9928.41183590902,9478.08646081775,10990.1026755299,9373.67737568102
1.75,9413.08175808562,9413.08175808562,9865.35079727426,9413.81963056702,10990.1026755299,9373.67737568102
2,9354.38096961968,9354.38096961968,9808.89602065416,9361.01432324826,10990.1026755299,9373.67737568102
2.25,9299.98490207595,9299.98490207595,9754.32718296845,9310.44559426662,10990.1026755299,9373.67737568102
2.5,9247.39226377556,9247.39226377556,9700.22280592566,9260.29003479201,10990.1026755299,9373.67737568102
2.75,9194.53860949699,9194.53860949699,9653.02737379719,9219.68176427499,10990.1026755299,9373.67737568102
3,9143.32694721283,9143.32694721283,9611.44764692886,9187.05830621051,10990.1026755299,9373.67737568102
3.25,9099.11665285252,9099.11665285252,9575.14158656449,9172.6156502155,10990.1026755299,9373.67737568102
3.5,9065.09865617657,9065.09865617657,9546.65223443215,9172.6156502155,10990.1026755299,9373.67737568102
3.75,9041.43585829886,9041.43585829886,9525.88333643274,9172.6156502155,10990.1026755299,9373.67737568102
4,9027.44289181073,9027.44289181073,9506.188955259,9172.6156502155,10990.1026755299,9373.67737568102
4.25,9021.81729225607,9021.81729225607,9494.04128284431,9172.6156502155,10990.1026755299,9373.67737568102
4.5,9021.40130932546,9021.40130932546,9489.73797171897,9172.6156502155,10990.1026755299,9373.67737568102
4.75,9023.34047097616,9023.34047097616,9485.80294854208,9172.6156502155,10990.1026755299,9373.67737568102
5,9035.0674385319,9035.0674385319,9489.75525970837,9172.6156502155,10990.1026755299,9373.67737568102
5.25,9073.42684936686,9073.42684936686,9517.35972920458,9172.6156502155,10990.1026755299,9373.67737568102
5.5,9150.6855798002,9150.6855798002,9582.61093476977,9188.84519004706,10990.1026755299,9373.67737568102
5.75,9269.24778607179,9269.24778607179,9689.98627434765,9271.83933820161,10990.1026755299,9373.67737568102
6,9417.54670583526,9417.54670583526,9823.38376936467,9417.54670583526,10990.1026755299,9373.67737568102
6.25,9573.27883782946,9573.27883782946,9975.8332686611,9573.27883782946,10990.1026755299,9373.67737568102
6.5,9712.88910682549,9712.88910682549,10120.4106792393,9712.88910682549,10990.1026755299,9373.67737568102
6.75,9817.33864781055,9817.33864781055,10227.1494246057,9817.33864781055,10990.1026755299,9373.67737568102
7,9892.54613954184,9879.41886825231,10298.3432700373,9879.41886825231,10990.1026755299,9360.55010439148
7.25,9971.59759719117,9896.55882602397,10326.9724422512,9896.55882602397,10990.1026755299,9298.63860451382
7.5,10097.9278973788,9881.41809882686,10324.7030906321,9881.41809882686,10990.1026755299,9262.02348129435
7.75,10311.0204268496,9873.18165609471,10333.9596247763,9873.18165609471,10990.1026755299,9266.53083224957
8,10607.267218618,9847.20779807174,10329.4092643598,9847.20779807174,10990.1026755299,9194.72944870748
8.25,10937.4403851655,9698.22548986461,10201.2457582622,9698.22548986461,10990.1026755299,8925.01346178102
8.5,11239.3701642204,9391.7876097577,9912.04169981855,9391.7876097577,10990.1026755299,8951.57153494863
8.75,11456.6318449816,8928.9588032769,9462.60257934181,8928.9588032769,10990.1026755299,9003.27314326241
9,11574.9922587352,8383.44501172004,8930.39208871801,8427.42341140451,10990.1026755299,8714.49954433595
9.25,11621.3742629563,7894.8837447105,8451.98106755025,8022.02127289395,10990.1026755299,8714.27448002085
9.5,11628.997005968,7465.80476357909,8030.97909055678,7641.15146028858,10990.1026755299,8623.62517238859
9.75,11626.6038522225,7076.16518730374,7649.33013334837,7284.05771750721,10990.1026755299,8395.12587465438
